20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      (37, 90, 0.213)
      (37, 92, 0.797)
      (37, 93, 0.312)
      (37, 95, 0.728)
      (37, 96, 0.734)
      (37, 99, 0.150)
      (37, 101, 0.041)
      (37, 102, 0.214)
      (37, 106, 0.720)
      (37, 107, 0.574)
      (37, 110, 0.419)
      (37, 113, 0.928)
      (37, 114, 0.104)
      (37, 115, 0.800)
      (37, 116, 0.916)
      (37, 118, 0.379)
      (37, 121, 0.097)
      (37, 123, 0.665)
      (37, 128, 0.559)
      (37, 130, 0.718)
      (37, 134, 0.423)
      (37, 135, 0.877)
      (37, 136, 0.669)
      (37, 137, 0.778)
      (37, 138, 0.448)
      (37, 139, 0.855)
      (37, 140, 0.148)
      (37, 142, 0.632)
      (37, 143, 0.069)
      (37, 145, 0.105)
      (37, 147, 0.008)
      (37, 150, 0.135)
      (37, 152, 0.946)
      (37, 154, 0.393)
      (37, 156, 0.795)
      (38, 40, 0.467)
      (38, 41, 0.012)
      (38, 43, 0.587)
      (38, 45, 0.491)
      (38, 47, 0.584)
      (38, 49, 0.005)
      (38, 51, 0.410)
      (38, 60, 0.437)
      (38, 61, 0.610)
      (38, 63, 0.149)
      (38, 64, 0.496)
      (38, 65, 0.859)
      (38, 66, 0.618)
      (38, 67, 0.010)
      (38, 71, 0.095)
      (38, 72, 0.606)
      (38, 74, 0.976)
      (38, 75, 0.963)
      (38, 76, 0.475)
      (38, 78, 0.765)
      (38, 79, 0.390)
      (38, 81, 0.705)
      (38, 84, 0.590)
      (38, 86, 0.953)
      (38, 88, 0.075)
      (38, 91, 0.702)
      (38, 92, 0.844)
      (38, 93, 0.186)
      (38, 96, 1.000)
      (38, 98, 0.522)
      (38, 99, 0.853)
      (38, 101, 0.414)
      (38, 102, 0.007)
      (38, 104, 0.517)
      (38, 105, 0.971)
      (38, 107, 0.999)
      (38, 108, 0.702)
      (38, 109, 0.450)
      (38, 110, 0.930)
      (38, 114, 0.636)
      (38, 115, 0.411)
      (38, 118, 0.249)
      (38, 119, 0.393)
      (38, 120, 0.484)
      (38, 121, 0.169)
      (38, 122, 0.230)
      (38, 123, 0.386)
      (38, 126, 0.557)
      (38, 128, 0.656)
      (38, 129, 0.813)
      (38, 130, 0.540)
      (38, 134, 0.755)
      (38, 136, 0.244)
      (38, 138, 0.968)
      (38, 139, 0.850)
      (38, 141, 0.255)
      (38, 142, 0.813)
      (38, 145, 0.362)
      (38, 148, 0.159)
      (38, 149, 0.377)
      (38, 153, 0.825)
      (38, 155, 0.466)
      (39, 44, 0.909)
      (39, 47, 0.454)
      (39, 51, 0.183)
      (39, 53, 0.675)
      (39, 54, 0.791)
      (39, 56, 0.668)
      (39, 57, 0.801)
      (39, 58, 0.841)
      (39, 62, 0.805)
      (39, 65, 0.314)
      (39, 68, 0.428)
      (39, 72, 0.468)
      (39, 77, 0.883)
      (39, 78, 0.442)
      (39, 79, 0.198)
      (39, 80, 0.254)
      (39, 81, 0.688)
      (39, 87, 0.379)
      (39, 89, 0.586)
      (39, 90, 0.551)
      (39, 92, 0.407)
      (39, 94, 0.198)
      (39, 95, 0.940)
      (39, 96, 0.809)
      (39, 97, 0.365)
      (39, 100, 0.814)
      (39, 102, 0.499)
      (39, 105, 0.051)
      (39, 107, 0.057)
      (39, 108, 0.004)
      (39, 113, 0.897)
      (39, 118, 0.945)
      (39, 119, 0.786)
      (39, 120, 0.323)
      (39, 121, 0.445)
      (39, 123, 0.111)
      (39, 125, 0.393)
      (39, 129, 0.593)
      (39, 135, 0.112)
      (39, 137, 0.872)
      (39, 138, 0.746)
      (39, 141, 0.350)
      (39, 149, 0.013)
      (39, 150, 0.778)
      (39, 151, 0.517)
      (39, 155, 0.404)
      (39, 157, 0.389)
      (40, 41, 0.894)
      (40, 43, 0.496)
      (40, 44, 0.465)
      (40, 45, 0.500)
      (40, 48, 0.014)
      (40, 50, 0.134)
      (40, 52, 0.589)
      (40, 54, 0.631)
      (40, 55, 0.661)
      (40, 56, 0.279)
      (40, 60, 0.062)
      (40, 62, 0.360)
      (40, 63, 0.022)
      (40, 68, 0.096)
      (40, 70, 0.237)
      (40, 71, 0.606)
      (40, 73, 0.673)
      (40, 74, 0.968)
      (40, 75, 0.727)
      (40, 78, 0.505)
      (40, 82, 0.327)
      (40, 83, 0.774)
      (40, 86, 0.315)
      (40, 88, 0.037)
      (40, 89, 0.613)
      (40, 90, 0.320)
      (40, 91, 0.937)
      (40, 92, 0.482)
      (40, 93, 0.307)
      (40, 94, 0.854)
      (40, 95, 0.073)
      (40, 100, 0.183)
      (40, 104, 0.310)
      (40, 109, 0.531)
      (40, 112, 0.938)
      (40, 113, 0.814)
      (40, 115, 0.109)
      (40, 118, 0.413)
      (40, 121, 0.939)
      (40, 122, 0.329)
      (40, 123, 0.412)
      (40, 124, 0.101)
      (40, 127, 0.954)
      (40, 128, 0.040)
      (40, 129, 0.153)
      (40, 132, 0.363)
      (40, 134, 0.134)
      (40, 135, 0.820)
      (40, 137, 0.073)
      (40, 138, 0.199)
      (40, 139, 0.090)
      (40, 141, 0.239)
      (40, 142, 0.650)
      (40, 143, 0.616)
      (40, 145, 0.523)
      (40, 148, 0.585)
      (40, 150, 0.230)
      (40, 155, 0.025)
      (40, 157, 0.574)
      (41, 42, 0.076)
      (41, 44, 0.839)
      (41, 45, 0.567)
      (41, 46, 0.458)
      (41, 47, 0.276)
      (41, 48, 0.285)
      (41, 50, 0.875)
      (41, 52, 0.194)
      (41, 54, 0.650)
      (41, 55, 0.876)
      (41, 57, 0.740)
      (41, 58, 0.606)
      (41, 59, 0.459)
      (41, 60, 0.248)
      (41, 63, 0.898)
      (41, 65, 0.086)
      (41, 66, 0.684)
      (41, 67, 0.572)
      (41, 68, 0.703)
      (41, 70, 0.030)
      (41, 72, 0.496)
      (41, 75, 0.676)
      (41, 81, 0.745)
      (41, 83, 0.231)
      (41, 86, 0.836)
      (41, 88, 0.413)
      (41, 90, 0.581)
      (41, 91, 0.011)
      (41, 92, 0.051)
      (41, 96, 0.957)
      (41, 98, 0.609)
      (41, 99, 0.295)
      (41, 102, 0.178)
      (41, 106, 0.567)
      (41, 107, 0.792)
      (41, 109, 0.384)
      (41, 113, 0.357)
      (41, 115, 0.766)
      (41, 117, 0.358)
      (41, 118, 0.703)
      (41, 120, 0.112)
      (41, 123, 0.805)
      (41, 124, 0.829)
      (41, 128, 0.371)
      (41, 129, 0.667)
      (41, 133, 0.753)
      (41, 134, 0.744)
      (41, 135, 0.055)
      (41, 138, 0.274)
      (41, 141, 0.537)
      (41, 142, 0.196)
      (41, 143, 0.183)
      (41, 144, 0.553)
      (41, 145, 0.787)
      (41, 148, 0.905)
      (41, 149, 0.282)
      (41, 154, 0.193)
      (41, 155, 0.401)
      (41, 156, 0.850)
      (41, 157, 0.881)
      (41, 158, 0.947)
      (42, 43, 0.312)
      (42, 44, 0.644)
      (42, 45, 0.157)
      (42, 46, 0.767)
      (42, 47, 0.094)
      (42, 48, 0.736)
      (42, 50, 0.263)
      (42, 53, 0.103)
      (42, 55, 0.641)
      (42, 57, 0.186)
      (42, 60, 0.054)
      (42, 61, 0.808)
      (42, 64, 0.394)
      (42, 68, 0.274)
      (42, 70, 0.769)
      (42, 71, 0.876)
      (42, 72, 0.249)
      (42, 74, 0.411)
      (42, 75, 0.062)
      (42, 76, 0.218)
      (42, 78, 0.557)
      (42, 82, 0.884)
      (42, 86, 0.662)
      (42, 88, 0.988)
      (42, 89, 0.387)
      (42, 91, 0.766)
      (42, 94, 0.864)
      (42, 96, 0.573)
      (42, 97, 0.530)
      (42, 98, 0.910)
      (42, 99, 0.996)
      (42, 100, 0.180)
      (42, 102, 0.569)
      (42, 104, 0.343)
      (42, 105, 0.977)
      (42, 106, 0.139)
      (42, 108, 0.679)
      (42, 109, 0.521)
      (42, 110, 0.109)
      (42, 111, 0.423)
      (42, 113, 0.772)
      (42, 122, 0.829)
      (42, 124, 0.256)
      (42, 126, 0.624)
      (42, 128, 0.967)
      (42, 129, 0.466)
      (42, 131, 0.668)
      (42, 132, 0.589)
      (42, 133, 0.392)
      (42, 134, 0.322)
      (42, 135, 0.783)
      (42, 136, 0.187)
      (42, 139, 0.772)
      (42, 142, 0.751)
      (42, 143, 0.493)
      (42, 144, 0.246)
      (42, 145, 0.290)
      (42, 146, 0.215)
      (42, 149, 0.511)
      (42, 151, 0.495)
      (42, 152, 0.797)
      (42, 153, 0.598)
      (42, 157, 0.685)
      (42, 159, 0.488)
      (43, 44, 0.477)
      (43, 46, 0.635)
      (43, 47, 0.312)
      (43, 49, 0.861)
      (43, 51, 0.748)
      (43, 53, 0.295)
      (43, 55, 0.803)
      (43, 56, 0.951)
      (43, 57, 0.279)
      (43, 58, 0.154)
      (43, 62, 0.285)
      (43, 63, 0.754)
      (43, 66, 0.734)
      (43, 68, 0.761)
      (43, 69, 0.097)
      (43, 70, 0.445)
      (43, 71, 0.017)
      (43, 72, 0.743)
      (43, 74, 0.469)
      (43, 76, 0.201)
      (43, 81, 0.574)
      (43, 82, 0.944)
      (43, 83, 0.043)
      (43, 84, 0.836)
      (43, 85, 0.553)
      (43, 86, 0.193)
      (43, 89, 0.339)
      (43, 91, 0.891)
      (43, 92, 0.456)
      (43, 94, 0.390)
      (43, 96, 0.697)
      (43, 102, 0.115)
      (43, 103, 0.231)
      (43, 104, 0.485)
      (43, 109, 0.701)
      (43, 113, 0.989)
      (43, 114, 0.633)
      (43, 117, 0.579)
      (43, 118, 0.613)
      (43, 124, 0.790)
      (43, 125, 0.070)
      (43, 126, 0.808)
      (43, 128, 0.878)
      (43, 129, 0.965)
      (43, 130, 0.108)
      (43, 131, 0.889)
      (43, 133, 0.327)
      (43, 134, 0.028)
      (43, 137, 0.233)
      (43, 139, 0.230)
      (43, 140, 0.315)
      (43, 144, 0.963)
      (43, 145, 0.491)
      (43, 146, 0.260)
      (43, 148, 0.670)
      (43, 150, 0.201)
      (43, 154, 0.132)
      (43, 156, 0.212)
      (43, 157, 0.972)
      (43, 158, 0.500)
      (43, 159, 0.467)
      (44, 46, 0.939)
      (44, 51, 0.408)
      (44, 53, 0.747)
      (44, 57, 0.691)
      (44, 59, 0.464)
      (44, 62, 0.145)
      (44, 63, 0.525)
      (44, 65, 0.583)
      (44, 66, 0.874)
      (44, 69, 0.958)
      (44, 71, 0.501)
      (44, 72, 0.625)
      (44, 73, 0.852)
      (44, 74, 0.588)
      (44, 78, 0.132)
      (44, 84, 0.267)
      (44, 85, 0.623)
      (44, 86, 0.198)
      (44, 89, 0.918)
      (44, 90, 0.768)
      (44, 91, 0.326)
      (44, 95, 0.065)
      (44, 96, 0.454)
      (44, 99, 0.303)
      (44, 102, 0.865)
      (44, 105, 0.609)
      (44, 107, 0.834)
      (44, 110, 0.789)
      (44, 111, 0.104)
      (44, 113, 0.713)
      (44, 114, 0.521)
      (44, 117, 0.180)
      (44, 118, 0.867)
      (44, 119, 0.267)
      (44, 120, 0.687)
      (44, 122, 0.850)
      (44, 123, 0.575)
      (44, 125, 0.846)
      (44, 127, 0.131)
      (44, 128, 0.008)
      (44, 129, 0.509)
      (44, 130, 0.424)
      (44, 131, 0.352)
      (44, 133, 0.027)
      (44, 134, 0.646)
      (44, 136, 0.075)
      (44, 138, 0.004)
      (44, 140, 0.965)
      (44, 143, 0.695)
      (44, 145, 0.698)
      (44, 149, 0.001)
      (44, 151, 0.560)
      (44, 155, 0.508)
      (44, 159, 0.873)
      (45, 47, 0.760)
      (45, 49, 0.428)
      (45, 50, 0.276)
      (45, 52, 0.116)
      (45, 53, 0.648)
      (45, 55, 0.248)
      (45, 57, 0.037)
      (45, 59, 0.967)
      (45, 60, 0.511)
      (45, 61, 0.271)
      (45, 63, 0.806)
      (45, 64, 0.510)
      (45, 65, 0.290)
      (45, 66, 0.555)
      (45, 67, 0.316)
      (45, 70, 0.190)
      (45, 71, 0.094)
      (45, 74, 0.987)
      (45, 75, 0.745)
      (45, 79, 0.034)
      (45, 80, 0.807)
      (45, 82, 0.245)
      (45, 83, 0.980)
      (45, 85, 0.659)
      (45, 86, 0.232)
      (45, 87, 0.600)
      (45, 88, 0.959)
      (45, 90, 0.797)
      (45, 91, 0.022)
      (45, 92, 0.609)
      (45, 94, 0.380)
      (45, 95, 0.415)
      (45, 96, 0.167)
      (45, 97, 0.539)
      (45, 98, 0.590)
      (45, 100, 0.858)
      (45, 105, 0.594)
      (45, 106, 0.606)
      (45, 107, 0.773)
      (45, 112, 0.916)
      (45, 116, 0.534)
      (45, 118, 0.935)
      (45, 119, 0.684)
      (45, 120, 0.106)
      (45, 121, 0.643)
      (45, 122, 0.480)
      (45, 123, 0.010)
      (45, 124, 0.984)
      (45, 125, 0.530)
      (45, 126, 0.010)
      (45, 129, 0.131)
      (45, 130, 0.763)
      (45, 131, 0.270)
      (45, 133, 0.666)
      (45, 134, 0.461)
      (45, 136, 0.112)
      (45, 137, 0.643)
      (45, 139, 0.524)
      (45, 140, 0.803)
      (45, 142, 0.519)
      (45, 143, 0.391)
      (45, 145, 0.065)
      (45, 149, 0.125)
      (45, 150, 0.251)
      (45, 151, 0.492)
      (45, 159, 0.448)
      (46, 47, 0.956)
      (46, 49, 0.558)
      (46, 52, 0.530)
      (46, 60, 0.987)
      (46, 62, 0.172)
      (46, 66, 0.439)
      (46, 67, 0.562)
      (46, 69, 0.324)
      (46, 70, 0.269)
      (46, 74, 0.969)
      (46, 75, 0.493)
      (46, 76, 0.339)
      (46, 77, 0.372)
      (46, 79, 0.938)
      (46, 80, 0.856)
      (46, 82, 0.988)
      (46, 83, 0.101)
      (46, 84, 0.302)
      (46, 88, 0.080)
      (46, 91, 0.877)
      (46, 93, 0.145)
      (46, 94, 0.715)
      (46, 96, 0.764)
      (46, 98, 0.608)
      (46, 99, 0.822)
      (46, 103, 0.275)
      (46, 104, 0.239)
      (46, 107, 0.577)
      (46, 108, 0.194)
      (46, 109, 0.428)
      (46, 110, 0.675)
      (46, 112, 0.224)
      (46, 114, 0.307)
      (46, 116, 0.882)
      (46, 117, 0.335)
      (46, 118, 0.448)
      (46, 120, 0.955)
      (46, 121, 0.288)
      (46, 122, 0.122)
      (46, 124, 0.231)
      (46, 126, 0.958)
      (46, 127, 0.402)
      (46, 128, 0.432)
      (46, 129, 0.362)
      (46, 130, 0.329)
      (46, 131, 0.407)
      (46, 132, 0.494)
      (46, 135, 0.496)
      (46, 136, 0.831)
      (46, 137, 0.077)
      (46, 138, 0.752)
      (46, 139, 0.698)
      (46, 140, 0.421)
      (46, 141, 0.544)
      (46, 143, 0.599)
      (46, 144, 0.055)
      (46, 145, 0.725)
      (46, 147, 0.442)
      (46, 149, 0.724)
      (46, 150, 0.883)
      (46, 153, 0.258)
      (46, 154, 0.351)
      (46, 156, 0.612)
      (46, 157, 0.577)
      (46, 158, 0.336)
      (47, 49, 0.583)
      (47, 50, 0.284)
      (47, 51, 0.141)
      (47, 52, 0.712)
      (47, 53, 0.506)
      (47, 54, 0.197)
      (47, 55, 0.034)
      (47, 57, 0.817)
      (47, 60, 0.812)
      (47, 61, 0.324)
      (47, 62, 0.011)
      (47, 65, 0.093)
      (47, 67, 0.368)
      (47, 68, 0.835)
      (47, 74, 0.281)
      (47, 77, 0.338)
      (47, 80, 0.517)
      (47, 81, 0.471)
      (47, 83, 0.462)
      (47, 86, 0.144)
      (47, 89, 0.029)
      (47, 91, 0.649)
      (47, 92, 0.464)
      (47, 96, 0.505)
      (47, 97, 0.191)
      (47, 100, 0.587)
      (47, 102, 0.662)
      (47, 105, 0.404)
      (47, 107, 0.883)
      (47, 108, 0.244)
      (47, 109, 0.476)
      (47, 111, 0.725)
      (47, 112, 0.893)
      (47, 113, 0.658)
      (47, 117, 0.716)
      (47, 119, 0.162)
      (47, 121, 0.105)
      (47, 124, 0.375)
      (47, 128, 0.882)
      (47, 129, 0.869)
      (47, 130, 0.656)
      (47, 132, 0.986)
      (47, 133, 0.950)
      (47, 135, 0.486)
      (47, 137, 0.664)
      (47, 138, 0.454)
      (47, 139, 0.008)
      (47, 140, 0.836)
      (47, 141, 0.569)
      (47, 143, 0.836)
      (47, 144, 0.551)
      (47, 145, 0.022)
      (47, 147, 0.746)
      (47, 151, 0.188)
      (47, 152, 0.142)
      (47, 153, 0.853)
      (47, 154, 0.567)
      (47, 155, 0.956)
      (47, 158, 0.621)
      (48, 50, 0.576)
      (48, 51, 0.712)
      (48, 53, 0.893)
      (48, 54, 0.033)
      (48, 58, 0.619)
      (48, 59, 0.165)
      (48, 64, 0.620)
      (48, 65, 0.979)
      (48, 67, 0.659)
      (48, 72, 0.986)
      (48, 74, 0.251)
      (48, 76, 0.132)
      (48, 77, 0.637)
      (48, 79, 0.649)
      (48, 80, 0.121)
      (48, 83, 0.268)
      (48, 87, 0.502)
      (48, 88, 0.481)
      (48, 91, 0.568)
      (48, 93, 0.264)
      (48, 94, 0.337)
      (48, 95, 0.462)
      (48, 97, 0.851)
      (48, 100, 0.174)
      (48, 104, 0.246)
      (48, 106, 0.463)
      (48, 107, 0.791)
      (48, 108, 0.670)
      (48, 110, 0.822)
      (48, 112, 0.818)
      (48, 117, 0.402)
      (48, 120, 0.844)
      (48, 121, 0.278)
      (48, 122, 0.960)
      (48, 125, 0.849)
      (48, 127, 0.622)
      (48, 129, 0.358)
      (48, 132, 0.762)
      (48, 133, 0.329)
      (48, 135, 0.803)
      (48, 138, 0.951)
      (48, 139, 0.113)
      (48, 140, 0.070)
      (48, 141, 0.041)
      (48, 142, 0.933)
      (48, 143, 0.216)
      (48, 145, 0.497)
      (48, 146, 0.944)
      (48, 147, 0.139)
      (48, 148, 0.090)
      (48, 149, 0.748)
      (48, 150, 0.806)
      (48, 151, 0.501)
      (48, 153, 0.730)
      (48, 154, 0.171)
      (48, 155, 0.402)
      (48, 156, 0.375)
      (49, 53, 0.445)
      (49, 54, 0.103)
      (49, 57, 0.713)
      (49, 58, 0.742)
      (49, 59, 0.974)
      (49, 60, 0.247)
      (49, 64, 0.387)
      (49, 65, 0.517)
      (49, 66, 0.042)
      (49, 67, 0.207)
      (49, 68, 0.260)
      (49, 76, 0.451)
      (49, 81, 0.201)
      (49, 84, 0.306)
      (49, 86, 0.279)
      (49, 87, 0.191)
      (49, 88, 0.934)
      (49, 92, 0.634)
      (49, 95, 0.700)
      (49, 96, 0.898)
      (49, 99, 0.198)
      (49, 100, 0.378)
      (49, 103, 0.570)
      (49, 105, 0.462)
      (49, 107, 0.828)
      (49, 108, 0.886)
      (49, 109, 0.065)
      (49, 111, 0.743)
      (49, 118, 0.471)
      (49, 120, 0.592)
      (49, 121, 0.451)
      (49, 122, 0.470)
      (49, 124, 0.994)
      (49, 125, 0.867)
      (49, 127, 0.089)
      (49, 131, 0.385)
      (49, 132, 0.675)
      (49, 133, 0.118)
      (49, 134, 0.120)
      (49, 135, 0.998)
      (49, 139, 0.776)
      (49, 140, 0.956)
      (49, 142, 0.230)
      (49, 144, 0.807)
      (49, 145, 0.544)
      (49, 147, 0.059)
      (49, 148, 0.127)
      (49, 149, 0.196)
      (49, 151, 0.058)
      (49, 152, 0.446)
      (49, 153, 0.228)
      (49, 156, 0.290)
      (49, 157, 0.806)
      (49, 159, 0.203)
      (50, 52, 0.320)
      (50, 53, 0.929)
      (50, 54, 0.336)
      (50, 55, 0.399)
      (50, 57, 0.896)
      (50, 58, 0.584)
      (50, 63, 0.869)
      (50, 66, 0.796)
      (50, 68, 0.212)
      (50, 69, 0.479)
      (50, 70, 0.253)
      (50, 72, 0.196)
      (50, 75, 0.075)
      (50, 77, 0.384)
      (50, 78, 0.253)
      (50, 79, 0.751)
      (50, 80, 0.826)
      (50, 83, 0.574)
      (50, 85, 0.747)
      (50, 89, 0.310)
      (50, 92, 0.957)
      (50, 93, 0.208)
      (50, 96, 0.038)
      (50, 97, 0.945)
      (50, 98, 0.354)
      (50, 99, 0.953)
      (50, 102, 0.173)
      (50, 103, 0.110)
      (50, 105, 0.205)
      (50, 106, 0.028)
      (50, 109, 0.823)
      (50, 110, 0.521)
      (50, 111, 0.169)
      (50, 112, 0.959)
      (50, 113, 0.043)
      (50, 114, 0.700)
      (50, 115, 0.578)
      (50, 116, 0.251)
      (50, 117, 0.960)
      (50, 121, 0.345)
      (50, 122, 0.031)
      (50, 123, 0.869)
      (50, 124, 0.249)
      (50, 127, 0.099)
      (50, 128, 0.977)
      (50, 131, 0.891)
      (50, 133, 0.058)
      (50, 138, 0.049)
      (50, 140, 0.541)
      (50, 141, 0.938)
      (50, 142, 0.912)
      (50, 143, 0.304)
      (50, 146, 0.136)
      (50, 147, 0.040)
      (50, 149, 0.010)
      (50, 150, 0.290)
      (50, 152, 0.159)
      (50, 154, 0.380)
      (50, 157, 0.220)
      (51, 52, 0.986)
      (51, 53, 0.365)
      (51, 54, 0.980)
      (51, 55, 0.060)
      (51, 56, 0.166)
      (51, 57, 0.364)
      (51, 63, 0.759)
      (51, 66, 0.901)
      (51, 67, 0.899)
      (51, 68, 0.064)
      (51, 76, 0.533)
      (51, 79, 0.647)
      (51, 81, 0.924)
      (51, 83, 0.749)
      (51, 85, 0.511)
      (51, 86, 0.195)
      (51, 87, 0.258)
      (51, 92, 0.941)
      (51, 94, 0.497)
      (51, 97, 0.037)
      (51, 98, 0.388)
      (51, 99, 0.150)
      (51, 101, 0.573)
      (51, 103, 0.465)
      (51, 104, 0.620)
      (51, 106, 0.108)
      (51, 107, 0.270)
      (51, 108, 0.006)
      (51, 109, 0.759)
      (51, 114, 0.091)
      (51, 115, 0.333)
      (51, 117, 0.819)
      (51, 120, 0.079)
      (51, 122, 0.530)
      (51, 123, 0.002)
      (51, 124, 0.061)
      (51, 125, 0.693)
      (51, 126, 0.141)
      (51, 127, 0.386)
      (51, 129, 0.372)
      (51, 131, 0.778)
      (51, 133, 0.488)
      (51, 134, 0.882)
      (51, 135, 0.965)
      (51, 137, 0.830)
      (51, 139, 0.977)
      (51, 141, 0.812)
      (51, 143, 0.035)
      (51, 145, 0.045)
      (51, 147, 0.014)
      (51, 148, 0.397)
      (51, 149, 0.566)
      (51, 150, 0.171)
      (51, 151, 0.235)
      (51, 152, 0.946)
      (51, 154, 0.946)
      (51, 155, 0.685)
      (51, 158, 0.482)
      (51, 159, 0.673)
      (52, 55, 0.182)
      (52, 57, 0.970)
      (52, 58, 0.456)
      (52, 61, 0.867)
      (52, 62, 0.939)
      (52, 63, 0.200)
      (52, 64, 0.803)
      (52, 68, 0.229)
      (52, 70, 0.053)
      (52, 73, 0.055)
      (52, 74, 0.699)
      (52, 75, 0.078)
      (52, 76, 0.663)
      (52, 77, 0.989)
      (52, 78, 0.907)
      (52, 79, 0.765)
      (52, 81, 0.604)
      (52, 82, 0.721)
      (52, 84, 0.630)
      (52, 85, 0.101)
      (52, 87, 0.242)
      (52, 88, 0.805)
      (52, 91, 0.462)
      (52, 92, 0.803)
      (52, 94, 0.528)
      (52, 95, 0.633)
      (52, 96, 0.166)
      (52, 98, 0.956)
      (52, 99, 0.598)
      (52, 100, 1.000)
      (52, 104, 0.016)
      (52, 107, 0.309)
      (52, 109, 0.949)
      (52, 110, 0.368)
      (52, 116, 0.975)
      (52, 117, 0.743)
      (52, 119, 0.821)
      (52, 121, 0.357)
      (52, 122, 0.003)
      (52, 127, 0.616)
      (52, 128, 0.155)
      (52, 131, 0.535)
      (52, 132, 0.416)
      (52, 137, 0.818)
      (52, 139, 0.210)
      (52, 140, 0.528)
      (52, 141, 0.308)
      (52, 142, 0.266)
      (52, 143, 0.667)
      (52, 144, 0.607)
      (52, 145, 0.711)
      (52, 158, 0.262)
      (53, 54, 0.870)
      (53, 58, 0.372)
      (53, 59, 0.332)
      (53, 62, 0.608)
      (53, 63, 0.641)
      (53, 64, 0.901)
      (53, 68, 0.446)
      (53, 69, 0.627)
      (53, 71, 0.983)
      (53, 74, 0.728)
      (53, 75, 0.741)
      (53, 76, 0.252)
      (53, 77, 0.861)
      (53, 78, 0.338)
      (53, 79, 0.691)
      (53, 80, 0.188)
      (53, 82, 0.151)
      (53, 83, 0.408)
      (53, 84, 0.357)
      (53, 85, 0.726)
      (53, 87, 0.830)
      (53, 88, 0.927)
      (53, 89, 0.320)
      (53, 91, 0.161)
      (53, 92, 0.413)
      (53, 93, 0.440)
      (53, 94, 0.860)
      (53, 95, 0.944)
      (53, 96, 0.694)
      (53, 97, 0.091)
      (53, 98, 0.342)
      (53, 100, 0.616)
      (53, 103, 0.844)
      (53, 106, 0.852)
      (53, 109, 0.262)
      (53, 110, 0.307)
      (53, 111, 0.036)
      (53, 112, 0.293)
      (53, 113, 0.309)
      (53, 114, 0.060)
      (53, 115, 0.839)
      (53, 116, 0.536)
      (53, 118, 0.335)
      (53, 120, 0.566)
      (53, 124, 0.759)
      (53, 127, 0.576)
      (53, 133, 0.125)
      (53, 137, 0.904)
      (53, 138, 0.485)
      (53, 142, 0.959)
      (53, 143, 0.433)
      (53, 144, 0.773)
      (53, 147, 0.586)
      (53, 149, 0.965)
      (53, 152, 0.811)
      (53, 153, 0.300)
      (53, 155, 0.625)
      (53, 157, 0.781)
      (53, 159, 0.408)
      (54, 55, 0.926)
      (54, 57, 0.925)
      (54, 60, 0.865)
      (54, 65, 0.046)
      (54, 66, 0.059)
      (54, 67, 0.515)
      (54, 68, 0.642)
      (54, 72, 0.550)
      (54, 74, 0.153)
      (54, 79, 0.091)
      (54, 81, 0.880)
      (54, 82, 0.561)
      (54, 85, 0.623)
      (54, 86, 0.190)
      (54, 89, 0.677)
      (54, 93, 0.752)
      (54, 94, 0.533)
      (54, 95, 0.159)
      (54, 97, 0.705)
      (54, 100, 0.686)
      (54, 101, 0.323)
      (54, 103, 0.918)
      (54, 104, 0.516)
      (54, 113, 0.335)
      (54, 114, 0.908)
      (54, 117, 0.937)
      (54, 118, 0.007)
      (54, 119, 0.625)
      (54, 120, 0.391)
      (54, 121, 0.382)
      (54, 123, 0.833)
      (54, 124, 0.233)
      (54, 130, 0.269)
      (54, 131, 0.816)
      (54, 132, 0.453)
      (54, 133, 0.280)
      (54, 134, 0.441)
      (54, 136, 0.456)
      (54, 138, 0.703)
      (54, 141, 0.464)
      (54, 143, 0.581)
      (54, 144, 0.505)
      (54, 145, 0.289)
      (54, 151, 0.677)
      (54, 154, 0.401)
      (54, 155, 0.707)
      (54, 157, 0.326)
      (54, 158, 0.096)
      (55, 56, 0.133)
      (55, 59, 0.901)
      (55, 62, 0.146)
      (55, 64, 0.324)
      (55, 70, 0.123)
      (55, 72, 0.009)
      (55, 77, 0.881)
      (55, 78, 0.137)
      (55, 79, 0.762)
      (55, 80, 0.602)
      (55, 81, 0.962)
      (55, 86, 0.061)
      (55, 87, 0.123)
      (55, 90, 0.894)
      (55, 92, 0.566)
      (55, 93, 0.046)
      (55, 97, 0.555)
      (55, 99, 0.808)
      (55, 100, 0.200)
      (55, 102, 0.217)
      (55, 104, 0.202)
      (55, 105, 0.507)
      (55, 106, 0.091)
      (55, 109, 0.807)
      (55, 110, 0.868)
      (55, 113, 0.628)
      (55, 114, 0.756)
      (55, 115, 0.143)
      (55, 116, 0.893)
      (55, 118, 0.320)
      (55, 119, 0.172)
      (55, 120, 0.749)
      (55, 121, 0.767)
      (55, 122, 0.031)
      (55, 123, 0.233)
      (55, 126, 0.441)
      (55, 130, 0.979)
      (55, 131, 0.956)
      (55, 136, 0.802)
      (55, 137, 0.572)
      (55, 139, 0.237)
      (55, 140, 0.958)
      (55, 141, 0.472)
      (55, 142, 0.443)
      (55, 144, 0.540)
      (55, 145, 0.774)
      (55, 146, 0.345)
      (55, 148, 0.241)
      (55, 149, 0.749)
